,ticker,close_price,prev_low,prev_high,current_price,pct,side
0,TALK,5.93,5.55,5.94,5.75,-3.04,buy
1,BARK,9.09,8.61,9.32,8.85,-2.64,buy
2,RDFN,56.27,53.18,57.18,54.81,-2.59,buy
3,CRTX,98.91,66.23,99.99,96.44,-2.5,buy
4,OSPN,19.03,18.4801,19.12,18.56,-2.47,buy
5,CFLT,47.28,43.15,48.59,46.23,-2.22,buy
6,ATCX,13.94,13.11,14.59,14.45,3.66,sell
7,EPIX,17.52,14.38,20.87,18.14,3.54,sell
8,SVC,11.36,11.275,11.79,11.74,3.35,sell
9,APPS,64.48,63.88,66.89,66.52,3.16,sell
10,NTLA,160.28,153.3401,175.7999,164.9599,2.92,sell
11,HARP,9.76,9.71,10.6,10.02,2.66,sell
12,KURA,17.29,17.21,18.845,17.75,2.66,sell
13,VCYT,46.87,46.2401,48.5,48.1,2.62,sell
14,CHGG,79.78,79.43,83.86,81.87,2.62,sell
15,SM,17.78,17.6,18.36,18.23,2.53,sell
16,BRBR,28.18,28.08,30.98,28.87,2.45,sell
17,OCFT,5.31,5.21,5.78,5.44,2.45,sell
18,DAO,10.24,9.4474,10.81,10.49,2.44,sell
19,TCS,11.49,11.0336,11.91,11.77,2.44,sell
20,TTD,81.32,78.25,83.88,83.28,2.41,sell
21,BNTX,447.23,403.55,459.88,458.0,2.41,sell
22,CRDF,5.78,5.5,6.12,5.91,2.25,sell
23,LABU,59.75,58.4,61.71,61.08,2.23,sell
24,OM,39.6,39.01,41.1,40.47,2.2,sell
25,SAGE,43.36,41.61,44.68,44.31,2.19,sell
