,ticker,close_price,prev_low,prev_high,current_price,pct,side
0,BYSI,26.58,20.57,30.0,25.8,-2.93,buy
1,ARL,13.46,12.61,14.43,13.07,-2.9,buy
2,TTD,86.44,82.76,86.69,83.93,-2.9,buy
3,NGM,22.12,19.99,22.155,21.54,-2.62,buy
4,RIOT,32.71,31.75,33.8,31.86,-2.6,buy
5,MRNA,419.05,377.11,433.0,408.63,-2.49,buy
6,NUVA,61.19,59.69,62.05,59.795,-2.28,buy
7,BNTX,414.44,353.79,433.9,405.0,-2.28,buy
8,FLGT,110.51,99.001,111.0,108.0,-2.27,buy
9,ALXO,64.06,60.49,64.25,62.63,-2.23,buy
10,GDP,15.73,15.47,17.0,16.2,2.99,sell
11,PVAC,14.8,14.31,16.78,15.24,2.97,sell
12,LRMR,10.2,9.99,11.055,10.5,2.94,sell
13,CPE,31.51,30.8906,36.52,32.435,2.94,sell
14,BXC,47.63,46.05,52.15,49.0,2.88,sell
15,AVXL,17.49,17.37,18.28,17.98,2.8,sell
16,ARCT,44.76,42.155,53.98,46.0,2.77,sell
17,TUP,22.15,22.015,24.5,22.75,2.71,sell
18,CEIX,20.37,20.01,21.5,20.92,2.7,sell
19,RXRX,30.44,30.07,31.84,31.255,2.68,sell
