,ticker,close_price,prev_low,prev_high,current_price,pct,side
0,TME,10.46,9.51,10.77,9.99,-4.49,buy
1,API,27.19,24.285,29.2,26.06,-4.16,buy
2,IQ,10.92,10.44,11.615,10.47,-4.12,buy
3,RIOT,34.0,31.7,34.72,32.69,-3.85,buy
4,VNET,15.98,14.84,16.515,15.43,-3.44,buy
5,WYNN,104.32,100.761,104.47,100.84,-3.34,buy
6,AM,10.32,9.98,10.335,10.0,-3.1,buy
7,VIPS,16.44,15.62,17.27,15.95,-2.98,buy
8,LI,30.77,28.85,31.58,29.9332,-2.72,buy
9,MSTR,682.5,620.26,695.0,664.26,-2.67,buy
10,INMB,16.22,16.08,20.7607,17.0,4.81,sell
11,UVXY,28.04,28.02,29.69,28.98,3.35,sell
12,KNBE,24.68,24.52,28.0,25.4,2.92,sell
13,BNTX,286.26,276.68,297.7299,293.825,2.64,sell
14,VXX,29.85,29.85,31.0601,30.57,2.41,sell
