,ticker,close_price,prev_low,prev_high,current_price,pct,side
0,TW,86.95,83.1108,87.89,83.84,-3.58,buy
1,OSTK,72.77,67.77,77.45,70.48,-3.15,buy
2,TCOM,27.74,26.87,28.9,26.905,-3.01,buy
3,VNET,17.35,16.4599,18.19,16.83,-3.0,buy
4,SOXL,43.45,41.23,43.6899,42.227,-2.81,buy
5,LAC,14.73,14.15,15.25,14.32,-2.78,buy
6,ARVN,107.87,102.04,108.465,105.0,-2.66,buy
7,BCOV,11.31,10.76,11.97,11.01,-2.65,buy
8,PDD,92.1,89.071,96.38,89.67,-2.64,buy
9,JD,71.93,69.45,72.2,70.03,-2.64,buy
10,CORT,20.29,20.21,21.34,21.04,3.7,sell
11,LC,24.02,21.59,25.7,24.88,3.58,sell
12,CRSP,119.0,117.89,122.61,122.44,2.89,sell
13,KNSA,14.93,14.8,16.34,15.2717,2.29,sell
14,DNMR,16.74,16.31,19.09,17.09,2.09,sell
