,ticker,close_price,prev_low,prev_high,current_price,pct,side
0,ZYXI,16.81,15.79,16.88,16.08,-4.34,buy
1,DAO,22.45,20.685,22.6,21.5,-4.23,buy
2,ARL,12.78,10.79,14.9,12.3,-3.76,buy
3,VACQ,10.8,10.3,10.89,10.41,-3.61,buy
4,QDEL,125.12,116.5801,126.84,121.0,-3.29,buy
5,TAL,19.85,18.81,20.62,19.2,-3.27,buy
6,UPST,113.79,109.5149,115.9,110.1,-3.24,buy
7,BEAM,88.01,85.01,91.07,85.21,-3.18,buy
8,SEER,31.01,27.8409,31.5599,30.03,-3.16,buy
9,IMAB,77.45,74.23,77.79,75.07,-3.07,buy
10,AMRS,13.06,13.03,13.765,13.5218,3.54,sell
11,GLUE,19.29,18.57,20.0,19.8,2.64,sell
