,ticker,close_price,prev_low,prev_high,current_price,pct,side
0,IGMS,68.01,65.37,73.495,66.2866,-2.53,buy
1,XM,41.73,39.275,42.29,40.85,-2.11,buy
2,HAYW,24.09,24.0201,25.105,25.04,3.94,sell
3,S,49.31,48.59,55.29,51.19,3.81,sell
4,BLMN,25.13,24.26,26.49,26.06,3.7,sell
5,UA,17.52,17.35,18.03,18.025,2.88,sell
6,EWZ,37.4,37.3,39.36,38.45,2.81,sell
7,AFRM,56.32,56.02,61.4,57.7915,2.61,sell
8,MGI,10.34,10.03,11.21,10.6,2.51,sell
9,JKS,53.89,51.28,55.86,55.24,2.51,sell
10,ALEC,24.035,23.32,24.805,24.63,2.48,sell
11,TIGR,15.95,15.53,16.86,16.33,2.38,sell
