,ticker,close_price,prev_low,prev_high,current_price,pct,side
0,TBIO,30.61,29.42,31.4899,29.44,-3.82,buy
1,NAPA,22.65,20.42,23.79,21.86,-3.49,buy
2,PLXP,20.1,18.12,20.8,19.515,-2.91,buy
3,WISH,10.14,9.28,10.21,9.86,-2.76,buy
4,CCXI,16.12,15.55,16.47,15.6744,-2.76,buy
5,VMEO,44.84,42.9,45.62,43.64,-2.68,buy
6,XM,37.8,35.78,38.19,36.8,-2.65,buy
7,ANGI,11.95,11.33,12.12,11.65,-2.51,buy
8,OTLY,19.45,18.9,20.08,18.99,-2.37,buy
9,BOX,23.74,23.05,23.965,23.19,-2.32,buy
10,QFIN,27.92,26.7,29.53,29.31,4.98,sell
11,GKOS,47.93,46.5,50.475,49.995,4.31,sell
12,CADE,18.89,18.56,19.64,19.61,3.81,sell
13,MRNA,307.33,292.0,342.51,318.995,3.8,sell
14,FLGT,81.77,78.36,85.46,84.84,3.75,sell
15,OMIC,17.43,16.63,20.1,18.04,3.5,sell
16,ALBO,34.33,31.89,37.86,35.52,3.47,sell
17,AHCO,22.86,22.75,24.23,23.52,2.89,sell
18,CRCT,36.65,34.5244,38.3,37.7068,2.88,sell
19,NVAX,207.19,197.9201,230.9,212.73,2.67,sell
