,ticker,close_price,prev_low,prev_high,current_price,pct,side
0,PVAC,15.76,15.0,15.89,15.23,-3.36,buy
1,AEYE,11.61,10.77,12.99,11.26,-3.01,buy
2,BWAY,8.14,7.88,8.29,7.9104,-2.82,buy
3,GOL,6.5,6.181,6.55,6.32,-2.77,buy
4,AZUL,19.43,18.64,19.5,18.92,-2.62,buy
5,ZLAB,130.0,125.71,142.92,126.675,-2.56,buy
6,CEIX,20.03,19.16,20.45,19.55,-2.4,buy
7,PRTK,5.02,4.7,5.1971,4.9,-2.39,buy
8,HYRE,9.59,9.25,9.9799,9.365,-2.35,buy
9,MRUS,22.02,19.21,22.06,21.511,-2.31,buy
10,VET,5.71,5.51,5.84,5.58,-2.28,buy
11,BLMN,24.01,23.48,24.859,23.5104,-2.08,buy
12,DNUT,14.91,12.825,15.29,14.61,-2.01,buy
13,JKS,37.48,37.3201,40.28,38.92,3.84,sell
14,TME,7.23,7.03,7.62,7.5,3.73,sell
15,BEKE,17.01,16.77,18.55,17.64,3.7,sell
16,CANO,10.1,10.1,11.13,10.45,3.47,sell
17,LEGO,11.0,10.87,11.65,11.38,3.45,sell
18,FUTU,86.3,84.88,91.21,89.2403,3.41,sell
19,LESL,21.6,21.31,22.462,22.23,2.92,sell
20,OTLY,15.74,14.94,16.52,16.1604,2.67,sell
21,GRTS,7.42,7.3501,8.47,7.6,2.43,sell
22,UA,19.05,19.01,19.595,19.51,2.41,sell
23,AMTX,8.32,8.25,9.1,8.52,2.4,sell
24,MCRB,6.03,6.03,6.28,6.175,2.4,sell
25,ONTF,19.97,19.52,20.66,20.41,2.2,sell
26,BABA,160.55,159.51,167.2644,164.08,2.2,sell
27,FNGU,31.36,30.58,32.4289,32.035,2.15,sell
