,ticker,close_price,prev_low,prev_high,current_price,pct,side
0,GDS,56.79,55.05,57.46,55.29,-2.64,buy
1,REKR,8.86,8.5,9.2,8.6304,-2.59,buy
2,FLWS,32.1,27.61,33.29,31.34,-2.37,buy
3,KNBE,24.56,22.28,24.7445,24.0,-2.28,buy
4,CHNG,21.6,20.9829,21.62,21.117,-2.24,buy
5,GTHX,14.14,13.8301,14.5914,13.8501,-2.05,buy
6,VRAY,5.9,5.6999,6.16,5.78,-2.03,buy
7,CAN,9.24,9.1018,9.7,9.49,2.71,sell
8,ERX,22.08,22.0,22.75,22.65,2.58,sell
9,PLAN,59.43,59.32,60.95,60.94,2.54,sell
10,IBRX,10.9,10.85,11.6,11.1733,2.51,sell
11,CANO,11.69,11.42,12.48,11.98,2.48,sell
12,RRC,13.8,13.59,14.17,14.14,2.46,sell
13,TALO,11.51,11.26,11.8099,11.79,2.43,sell
14,ONEM,23.56,23.41,24.2,24.12,2.38,sell
15,S,61.01,59.46,64.03,62.428,2.32,sell
16,AUTL,6.6,6.51,6.94,6.75,2.27,sell
17,GRTS,8.88,8.79,9.3,9.08,2.25,sell
18,SID,6.93,6.92,7.21,7.085,2.24,sell
19,RDHL,7.29,6.88,7.75,7.45,2.19,sell
20,LPI,46.5,45.5,47.72,47.5,2.15,sell
21,XPEV,40.62,39.85,42.45,41.46,2.07,sell
22,PDCE,39.27,39.09,40.45,40.08,2.06,sell
23,CPE,31.71,31.07,32.61,32.36,2.05,sell
24,MTDR,27.08,26.73,27.73,27.63,2.03,sell
25,SBSW,15.41,15.3,15.76,15.72,2.01,sell
