,ticker,close_price,prev_low,prev_high,current_price,pct,side
0,TARA,7.74,6.63,7.9299,7.51,-2.97,buy
1,DADA,22.73,20.58,23.125,22.08,-2.86,buy
2,TME,9.11,8.47,9.28,8.8569,-2.78,buy
3,SUMO,20.92,20.29,21.15,20.37,-2.63,buy
4,RIOT,37.63,34.85,37.63,36.69,-2.5,buy
5,HYRE,11.38,9.89,11.57,11.1,-2.46,buy
6,LU,9.02,8.34,9.08,8.8,-2.44,buy
7,BILI,78.41,75.0,78.8,76.57,-2.35,buy
8,STNE,55.05,53.38,55.3,53.79,-2.29,buy
9,BNTX,368.2,354.2,379.9799,360.0,-2.23,buy
10,NTES,92.65,89.28,93.13,90.59,-2.22,buy
11,HUYA,10.91,10.265,11.005,10.67,-2.2,buy
12,INSM,25.49,24.84,25.55,24.93,-2.2,buy
13,RVLV,62.69,60.27,62.96,61.32,-2.19,buy
14,PRPL,26.81,25.79,26.93,26.24,-2.13,buy
15,API,29.98,28.25,30.71,29.34,-2.13,buy
16,YMM,14.64,13.42,15.13,14.34,-2.05,buy
17,VACQ,11.57,11.11,11.9,11.83,2.25,sell
18,STXS,6.56,6.42,7.25,6.7,2.13,sell
