,ticker,close_price,prev_low,prev_high,current_price,pct,side
0,BTU,12.35,11.6767,12.52,11.87,-3.89,buy
1,EGLE,41.6,39.0301,42.7624,39.99,-3.87,buy
2,GDYN,24.68,23.72,26.09,23.82,-3.48,buy
3,JNUG,70.48,68.15,71.24,68.175,-3.27,buy
4,PTEN,7.65,7.42,7.685,7.43,-2.88,buy
5,NGM,25.36,23.45,25.56,24.63,-2.88,buy
6,TGI,19.9,18.8004,20.17,19.35,-2.76,buy
7,CFLT,44.37,40.26,46.07,43.15,-2.75,buy
8,HL,6.2,5.98,6.23,6.03,-2.74,buy
9,UNIT,13.16,11.85,13.26,12.8,-2.74,buy
10,ONEM,28.66,27.51,29.71,27.9,-2.65,buy
11,HP,27.67,26.53,27.7262,26.94,-2.64,buy
12,PGNY,48.26,46.41,49.25,47.01,-2.59,buy
13,BYSI,26.87,23.1,30.0095,26.18,-2.57,buy
14,SM,18.67,18.1,18.935,18.21,-2.46,buy
15,GPRE,34.94,32.67,34.975,34.1,-2.4,buy
16,CHX,23.46,22.64,23.62,22.9,-2.39,buy
17,ADNT,38.6,36.61,39.31,37.7201,-2.28,buy
18,CNK,15.63,15.03,15.9479,15.28,-2.24,buy
19,SAND,7.34,7.01,7.4,7.18,-2.18,buy
20,BRBR,29.51,29.22,33.97,30.51,3.39,sell
21,FLXN,5.7,5.68,6.515,5.855,2.72,sell
22,CRNC,105.46,103.0,112.9924,108.1821,2.58,sell
23,SPB,80.06,76.31,82.34,82.1222,2.58,sell
24,PBYI,7.1,6.48,7.29,7.2694,2.39,sell
25,SAGE,41.09,40.94,43.49,42.04,2.31,sell
26,BAND,119.97,116.42,129.9999,122.4996,2.11,sell
27,VVNT,13.07,12.565,13.38,13.34,2.07,sell
28,PSFE,10.86,10.71,11.22,11.08,2.03,sell
29,UPST,132.13,130.66,139.56,134.79,2.01,sell
