,ticker,close_price,prev_low,prev_high,current_price,pct,side
0,CHRS,14.67,13.805,14.68,14.0901,-3.95,buy
1,IDT,48.26,45.25,53.43,46.41,-3.83,buy
2,ATY,8.0,7.791,8.47,7.8,-2.5,buy
3,SID,7.62,7.44,7.83,7.45,-2.23,buy
4,BDSX,8.02,6.52,8.46,7.845,-2.18,buy
5,WB,46.35,45.1,48.64,48.2,3.99,sell
6,EPIX,7.76,7.42,8.76,8.02,3.35,sell
7,REAL,12.35,12.025,12.77,12.76,3.32,sell
8,VNET,16.42,16.34,17.76,16.94,3.17,sell
9,GAN,13.58,13.0391,15.04,13.9574,2.78,sell
10,FUTU,90.44,84.05,94.34,92.9504,2.78,sell
11,COMP,16.09,15.71,16.979,16.52,2.67,sell
12,IMMR,6.46,6.4075,7.03,6.63,2.63,sell
13,AUPH,13.04,12.62,13.88,13.35,2.38,sell
14,DDD,27.6,27.23,29.85,28.24,2.32,sell
15,BNGO,5.34,5.21,5.5801,5.46,2.25,sell
16,SDGR,55.25,54.42,56.61,56.47,2.21,sell
17,PDD,79.45,77.01,82.64,81.19,2.19,sell
18,FARM,8.09,7.31,8.33,8.26,2.1,sell
19,EOLS,10.1,9.88,11.07,10.31,2.08,sell
20,ABCL,16.59,15.5,17.22,16.93,2.05,sell
21,SBLK,20.88,20.61,21.65,21.3,2.01,sell
