,ticker,close_price,prev_low,prev_high,current_price,pct,side
0,VNET,15.8,14.24,17.91,15.02,-4.94,buy
1,GDS,64.67,59.81,70.0,61.6,-4.75,buy
2,CD,13.17,12.43,13.67,12.57,-4.56,buy
3,NIU,27.9,26.69,28.36,26.74,-4.16,buy
4,CXM,19.08,18.05,19.3399,18.3,-4.09,buy
5,MNSO,17.16,16.11,17.5,16.53,-3.67,buy
6,LI,30.28,29.202,31.7,29.21,-3.53,buy
7,API,26.01,24.82,28.07,25.15,-3.31,buy
8,NIO,43.99,42.495,44.5,42.71,-2.91,buy
9,SOHU,20.93,19.75,21.59,20.33,-2.87,buy
10,S,46.56,46.06,49.2,48.325,3.79,sell
11,LPRO,36.53,36.27,39.75,37.89,3.72,sell
12,IBRX,10.81,10.74,11.325,11.15,3.15,sell
13,PLAY,33.88,33.47,35.25,34.84,2.83,sell
14,BNTX,281.96,267.03,292.335,289.43,2.65,sell
15,MGI,11.7,11.62,12.23,12.0,2.56,sell
16,BOOM,41.84,41.2801,43.9618,42.805,2.31,sell
17,FST,11.61,11.56,11.94,11.86,2.15,sell
18,TECK,20.99,20.855,21.54,21.43,2.1,sell
19,HA,19.67,19.34,20.13,20.0726,2.05,sell
