,ticker,close_price,prev_low,prev_high,current_price,pct,side
0,DASH,184.08,176.15,187.23,176.76,-3.98,buy
1,INSM,23.57,22.0,23.7438,23.0,-2.42,buy
2,ARRY,18.79,17.85,19.05,18.37,-2.24,buy
3,FUTU,90.34,89.21,95.5,93.87,3.91,sell
4,EPIX,8.06,7.84,8.68,8.36,3.72,sell
5,HYRE,8.75,8.5,9.985,9.0675,3.63,sell
6,LX,6.94,6.65,7.32,7.1904,3.61,sell
7,REKR,6.71,6.69,7.2237,6.9152,3.06,sell
8,BILI,66.54,65.11,70.49,68.5035,2.95,sell
9,BZUN,18.65,18.4,19.62,19.17,2.79,sell
10,IQ,8.33,8.19,8.6798,8.56,2.76,sell
11,YMM,12.68,11.23,13.03,13.02,2.68,sell
12,SABR,9.54,9.015,10.13,9.79,2.62,sell
13,BGNE,249.6,238.8801,276.84,256.1,2.6,sell
14,LPRO,32.46,31.94,34.06,33.3,2.59,sell
15,UPST,195.64,192.51,208.6,200.68,2.58,sell
16,PDD,77.29,76.3,81.4,79.185,2.45,sell
17,X,27.01,26.63,28.04,27.67,2.44,sell
18,TIGR,13.27,13.2,14.44,13.59,2.41,sell
19,RFL,38.58,35.2001,43.0699,39.5,2.38,sell
20,DQ,47.08,45.11,49.39,48.195,2.37,sell
21,REGI,46.99,46.0358,48.69,48.09,2.34,sell
22,TAL,5.13,4.96,5.49,5.25,2.34,sell
