,ticker,close_price,prev_low,prev_high,current_price,pct,side
0,TVTX,17.82,17.05,21.34,17.11,-3.98,buy
1,MRNA,373.86,349.0,379.57,361.0,-3.44,buy
2,FA,24.1,23.21,24.39,23.3123,-3.27,buy
3,RAIL,5.55,5.23,6.09,5.37,-3.24,buy
4,BEAM,101.94,94.28,103.42,98.675,-3.2,buy
5,TMST,16.52,15.6821,16.71,16.01,-3.09,buy
6,SLQT,14.01,13.26,14.1,13.58,-3.07,buy
7,HYRE,9.58,9.2245,9.72,9.29,-3.03,buy
8,BMBL,49.46,47.12,49.85,47.96,-3.03,buy
9,VUZI,12.28,11.75,12.77,11.91,-3.01,buy
10,EXPR,5.95,5.68,6.06,5.78,-2.86,buy
11,LTHM,24.5,23.67,25.2,23.8,-2.86,buy
12,EDIT,60.0,57.61,61.91,58.4,-2.67,buy
13,CYBR,156.36,151.61,159.37,152.22,-2.65,buy
14,CHS,6.06,5.8,6.15,5.9,-2.64,buy
15,RXT,13.9,13.23,13.94,13.535,-2.63,buy
16,DSKE,9.65,9.13,10.0,9.41,-2.49,buy
17,DFEN,22.57,21.79,22.77,22.01,-2.48,buy
18,GEVO,5.27,5.03,5.49,5.14,-2.47,buy
19,FIGS,42.03,39.75,43.3299,41.0,-2.45,buy
20,IMVT,7.5,7.41,7.975,7.6848,2.46,sell
21,SQQQ,8.04,8.04,8.39,8.23,2.36,sell
22,SDOW,29.4,29.4,30.395,30.01,2.07,sell
23,SE,290.49,285.75,305.44,296.47,2.06,sell
24,ZY,9.83,9.76,10.34,10.0296,2.03,sell
