,ticker,close_price,prev_low,prev_high,current_price,pct,side
0,WISH,10.14,9.28,10.21,9.775,-3.6,buy
1,NVAX,207.19,197.9201,230.9,201.315,-2.84,buy
2,MTB,135.04,130.33,137.18,131.29,-2.78,buy
3,MRNA,307.33,292.0,342.51,298.79,-2.78,buy
4,MRSN,12.43,11.81,12.48,12.09,-2.74,buy
5,IKNA,13.36,11.45,17.6,13.01,-2.62,buy
6,COLM,100.14,96.77,101.15,97.77,-2.37,buy
7,TENB,42.11,40.07,42.7,41.1182,-2.36,buy
8,CYTK,29.18,27.26,31.19,28.56,-2.12,buy
9,BB,10.62,9.9401,10.72,10.4,-2.07,buy
10,ALBO,34.33,31.89,37.86,35.66,3.87,sell
11,OMIC,17.43,16.63,20.1,18.0,3.27,sell
12,DPST,173.05,158.73,183.4287,178.68,3.25,sell
13,ANAB,26.09,25.1,27.75,26.89,3.07,sell
14,SM,18.64,18.09,19.19,19.16,2.79,sell
15,LPI,58.23,54.01,60.2,59.82,2.73,sell
16,THCB,11.39,11.3661,11.95,11.67,2.46,sell
17,OTLY,19.45,18.9,20.08,19.88,2.21,sell
18,TALO,11.13,10.86,11.435,11.37,2.16,sell
19,CYH,15.59,14.9,16.41,15.92,2.12,sell
