,ticker,close_price,prev_low,prev_high,current_price,pct,side
0,LBRT,10.24,9.47,10.26,9.81,-4.2,buy
1,GUSH,69.22,63.9,69.9152,66.325,-4.18,buy
2,SIBN,25.77,24.55,28.59,24.75,-3.96,buy
3,ERX,23.98,22.5799,24.04,23.0607,-3.83,buy
4,OII,13.34,12.54,13.4,12.83,-3.82,buy
5,VLO,69.01,66.08,69.05,66.48,-3.67,buy
6,DFEN,23.54,21.9,23.5495,22.68,-3.65,buy
7,MUR,21.25,20.25,21.445,20.51,-3.48,buy
8,RAD,14.9,14.389,15.05,14.405,-3.32,buy
9,CVI,14.01,13.35,14.1,13.55,-3.28,buy
10,EVER,25.13,24.795,29.5,26.0,3.46,sell
11,SPNE,15.75,15.37,20.5,16.2,2.86,sell
12,UVXY,27.91,27.87,30.65,28.679,2.76,sell
13,TIGR,16.75,16.22,17.4,17.2,2.69,sell
14,KNSA,13.69,12.63,15.92,14.05,2.63,sell
15,LIVN,83.49,81.05,86.54,85.68,2.62,sell
16,API,30.61,30.17,31.9347,31.4,2.58,sell
17,MIME,58.01,56.3,59.96,59.4496,2.48,sell
18,TZA,31.33,31.231,32.9699,32.0842,2.41,sell
19,ATHM,42.32,41.88,45.52,43.29,2.29,sell
