,ticker,close_price,prev_low,prev_high,current_price,pct,side
0,QFIN,26.62,24.21,28.5,25.3,-4.96,buy
1,TRHC,43.84,40.86,43.94,41.99,-4.22,buy
2,CYH,14.31,13.72,14.51,13.775,-3.74,buy
3,INMB,17.95,16.31,18.65,17.293,-3.66,buy
4,LNDC,12.44,12.0,12.53,12.07,-2.97,buy
5,TZA,31.36,30.615,32.94,30.641,-2.29,buy
6,BB,10.77,9.97,11.0,10.54,-2.14,buy
7,HP,30.0,28.59,30.23,29.38,-2.07,buy
8,DADA,21.16,20.11,22.0,21.91,3.54,sell
9,BEKE,26.81,25.16,28.77,27.68,3.25,sell
10,CSTM,19.03,18.36,19.62,19.6,3.0,sell
11,AMTI,29.36,28.87,33.51,30.22,2.93,sell
12,PLAY,34.76,34.61,37.48,35.745,2.83,sell
13,VIR,37.05,36.82,38.73,37.99,2.54,sell
14,MLHR,44.32,44.03,45.75,45.43,2.5,sell
15,IGT,19.87,19.8,20.77,20.36,2.47,sell
16,DFEN,23.7,23.3813,24.54,24.2818,2.45,sell
17,VIPS,17.01,16.82,17.705,17.405,2.32,sell
