,ticker,close_price,prev_low,prev_high,current_price,pct,side
0,PBF,9.39,8.99,9.44,9.05,-3.62,buy
1,DADA,22.21,21.06,22.43,21.53,-3.06,buy
2,GTES,16.72,16.01,17.1499,16.23,-2.93,buy
3,ONTF,22.31,21.5,24.4499,21.69,-2.78,buy
4,VRM,37.96,36.88,39.15,36.94,-2.69,buy
5,ARCT,46.78,44.73,49.97,45.57,-2.59,buy
6,CSIQ,41.48,39.67,41.99,40.41,-2.58,buy
7,YMM,14.11,13.69,14.49,13.7654,-2.44,buy
8,ZY,11.07,10.35,11.78,10.7996,-2.44,buy
9,JKS,56.0,54.56,59.57,54.65,-2.41,buy
10,WDC,66.72,65.065,66.91,65.185,-2.3,buy
11,EURN,8.22,8.025,8.24,8.04,-2.19,buy
12,SHLS,32.25,30.59,33.525,31.58,-2.08,buy
13,CERE,25.0,24.34,25.6174,24.49,-2.04,buy
14,MRNA,385.33,372.0,453.73,400.5001,3.94,sell
15,BDSX,7.25,7.25,9.3071,7.51,3.59,sell
16,ALT,11.15,10.04,11.6499,11.5396,3.49,sell
17,NVAX,234.3,219.3,249.5,242.465,3.48,sell
18,IFS,18.74,18.4,19.37,19.32,3.09,sell
19,TUFN,10.97,10.0,11.28,11.26,2.64,sell
20,CARG,29.32,29.17,30.48,30.07,2.56,sell
21,SGFY,24.3,23.8,25.775,24.85,2.26,sell
22,GBOX,8.91,8.53,9.84,9.11,2.24,sell
23,OSCR,14.84,14.55,15.2,15.16,2.16,sell
24,OTLY,17.41,17.29,19.19,17.7796,2.12,sell
25,SSYS,22.93,22.38,23.7499,23.39,2.01,sell
26,PAVM,6.95,6.78,7.31,7.09,2.01,sell
