,ticker,close_price,prev_low,prev_high,current_price,pct,side
0,IMKTA,63.29,59.8724,63.96,61.0,-3.62,buy
1,WSTG,29.79,28.0,31.49,28.72,-3.59,buy
2,GKOS,50.96,48.75,51.58,49.15,-3.55,buy
3,PASG,12.64,11.7,12.77,12.21,-3.4,buy
4,VHI,22.98,21.25,23.18,22.22,-3.31,buy
5,CYRX,65.15,62.22,65.78,63.07,-3.19,buy
6,OCUL,10.84,10.31,11.065,10.51,-3.04,buy
7,PLRX,22.39,21.53,22.52,21.75,-2.86,buy
8,SFM,24.42,23.71,24.44,23.73,-2.83,buy
9,TVTX,14.63,13.97,14.66,14.22,-2.8,buy
10,APVO,18.64,17.77,18.64,18.12,-2.79,buy
11,ZI,66.58,58.9,67.63,64.75,-2.75,buy
12,GBIO,24.09,22.015,24.18,23.43,-2.74,buy
13,NKTX,38.36,33.08,38.44,37.34,-2.66,buy
14,VOR,13.35,12.8,13.73,13.0,-2.62,buy
15,KNBE,21.31,20.13,21.365,20.76,-2.58,buy
16,CHUY,32.03,30.83,32.61,31.21,-2.56,buy
17,ONCR,12.64,11.9,12.71,12.32,-2.53,buy
18,LILA,14.4,13.04,14.65,14.04,-2.5,buy
19,GLUE,31.58,29.455,31.9,30.79,-2.5,buy
20,LPI,46.07,45.45,51.2,47.7672,3.68,sell
21,ADTN,21.7,20.71,22.5,22.45,3.46,sell
22,ITRI,71.84,67.07,79.755,74.02,3.03,sell
23,GUSH,66.33,63.84,68.85,68.32,3.0,sell
24,MAXR,29.21,26.98,31.6,30.05,2.88,sell
25,YMM,11.96,11.75,12.47,12.3,2.84,sell
26,VOXX,11.14,10.82,11.46,11.455,2.83,sell
27,TSE,50.27,49.37,53.59,51.69,2.82,sell
28,UAN,54.6,53.8099,58.204,56.1,2.75,sell
29,AXNX,63.0,62.67,66.54,64.71,2.71,sell
30,BTU,11.66,10.98,12.17,11.97,2.66,sell
31,ANGN,11.21,11.0,11.7129,11.495,2.54,sell
32,PAYA,10.63,10.565,11.14,10.9,2.54,sell
33,MTDR,29.25,28.41,30.12,29.99,2.53,sell
34,TRHC,37.59,37.14,39.82,38.52,2.47,sell
35,SWIM,21.62,21.31,26.11,22.154,2.47,sell
36,LGL,10.01,9.9,10.96,10.255,2.45,sell
37,USPH,118.44,115.85,123.0,121.32,2.43,sell
38,CPS,21.11,20.4,24.1,21.62,2.42,sell
39,APR,30.35,29.47,31.42,31.08,2.41,sell
