,ticker,close_price,prev_low,prev_high,current_price,pct,side
0,LTHM,23.9,22.82,24.66,22.96,-3.93,buy
1,FUTU,94.88,89.0,98.4399,91.21,-3.87,buy
2,AMTX,9.3,8.61,9.79,8.95,-3.76,buy
3,DNMR,15.37,13.8,16.05,14.81,-3.64,buy
4,NIU,26.13,23.77,26.48,25.25,-3.37,buy
5,X,29.45,27.88,30.57,28.5,-3.23,buy
6,MRNS,11.48,10.7111,11.79,11.1104,-3.22,buy
7,LU,8.8,8.46,8.88,8.53,-3.07,buy
8,DOCN,53.06,50.52,53.76,51.44,-3.05,buy
9,GSL,19.64,18.98,20.08,19.05,-3.0,buy
10,QFIN,17.63,17.0,17.96,17.1104,-2.95,buy
11,TCRR,15.35,14.5857,15.83,14.9,-2.93,buy
12,CSTM,19.15,18.33,19.495,18.59,-2.92,buy
13,IQ,8.71,8.4,8.9199,8.46,-2.87,buy
14,BYSI,21.06,19.81,21.54,20.46,-2.85,buy
15,TME,7.8,7.52,8.08,7.58,-2.82,buy
16,LBRT,9.95,9.64,10.1,9.67,-2.81,buy
17,TUYA,12.15,11.73,14.1,11.815,-2.76,buy
18,TASK,48.03,43.45,48.22,46.71,-2.75,buy
19,XPEV,39.5,38.01,40.37,38.415,-2.75,buy
20,CHRS,14.14,14.13,14.68,14.67,3.75,sell
21,FWAA,11.8,11.605,12.75,12.22,3.56,sell
22,CANO,9.92,9.4,10.85,10.26,3.43,sell
23,NFE,26.5,26.22,27.3,27.25,2.83,sell
24,NVDA,190.4,190.0,196.3365,194.88,2.35,sell
