,ticker,close_price,prev_low,prev_high,current_price,pct,side
0,LPI,54.03,49.8301,55.4018,52.77,-2.33,buy
1,FROG,38.44,37.53,39.05,37.55,-2.32,buy
2,LAC,19.91,19.125,19.96,19.46,-2.26,buy
3,AFRM,96.34,90.28,96.55,94.18,-2.24,buy
4,DAO,12.65,10.47,12.95,12.38,-2.13,buy
5,AVIR,29.72,29.47,30.75,30.47,2.52,sell
6,IHRT,24.88,24.75,25.555,25.4608,2.33,sell
7,STXS,7.06,6.31,7.32,7.223,2.31,sell
8,ENPH,173.73,169.604,178.6168,177.56,2.2,sell
9,UBER,39.14,39.125,40.275,39.975,2.13,sell
10,TUYA,10.43,9.77,10.655,10.65,2.11,sell
