,ticker,close_price,prev_low,prev_high,current_price,pct,side
0,UVXY,28.84,27.8106,29.56,27.92,-3.19,buy
1,AHT,18.85,17.53,19.15,18.33,-2.76,buy
2,VXX,30.47,29.7,30.94,29.77,-2.3,buy
3,DOCN,52.97,52.07,55.39,54.6627,3.2,sell
4,KRG,19.16,19.055,19.79,19.74,3.03,sell
5,MGNI,30.85,30.31,31.78,31.73,2.85,sell
6,ARVN,84.51,83.09,90.22,86.91,2.84,sell
7,AVXL,22.32,22.0,23.19,22.95,2.82,sell
8,AMEH,97.45,93.2,102.55,100.0,2.62,sell
9,AFIB,16.33,15.04,16.87,16.74,2.51,sell
10,XPEL,98.66,91.56,101.42,101.0,2.37,sell
11,THCB,10.2,10.11,11.1902,10.44,2.35,sell
12,STNG,16.74,16.61,17.65,17.12,2.27,sell
