,ticker,close_price,prev_low,prev_high,current_price,pct,side
0,BARK,9.21,8.37,9.28,8.9,-3.37,buy
1,EXPR,6.31,5.68,6.38,6.11,-3.17,buy
2,BLUE,20.04,17.72,20.1483,19.45,-2.94,buy
3,PRTS,18.97,18.42,19.56,18.5004,-2.48,buy
4,LUV,51.11,49.61,51.63,49.88,-2.41,buy
5,LBRT,9.82,9.59,10.07,9.62,-2.04,buy
6,CHMI,9.05,8.78,9.22,8.865,-2.04,buy
7,CARA,12.99,12.1,13.59,13.4,3.16,sell
8,MILE,5.4,5.24,5.87,5.565,3.06,sell
9,AMTX,9.81,9.51,10.23,10.08,2.75,sell
10,IMMR,7.48,7.42,7.71,7.68,2.67,sell
11,ATCX,14.96,14.3733,15.4,15.355,2.64,sell
12,SI,115.28,113.0,120.8,118.25,2.58,sell
13,LAC,17.18,15.69,17.94,17.62,2.56,sell
14,NUGT,51.11,50.765,52.52,52.37,2.47,sell
15,RAIL,5.61,5.5494,6.18,5.7422,2.36,sell
16,COUP,207.9,204.55,214.51,212.69,2.3,sell
17,LU,7.96,7.75,8.98,8.14,2.26,sell
18,GRTS,7.19,6.99,7.8037,7.35,2.23,sell
19,TWST,102.8,102.54,113.53,104.98,2.12,sell
20,PSFE,10.43,10.4,11.04,10.65,2.11,sell
21,FINV,6.38,6.38,6.8,6.51,2.04,sell
