,ticker,close_price,prev_low,prev_high,current_price,pct,side
0,AMWL,11.29,10.95,11.35,10.99,-2.66,buy
1,RIOT,31.64,30.4701,33.65,33.1685,4.83,sell
2,CD,11.41,11.31,12.0601,11.95,4.73,sell
3,WB,51.9,51.25,55.61,54.21,4.45,sell
4,RCKT,37.21,36.11,38.87,38.85,4.41,sell
5,ACMR,81.2,79.0,86.625,84.6,4.19,sell
6,LEGN,41.65,38.99,43.55,43.33,4.03,sell
7,NIO,39.36,38.66,43.3,40.885,3.87,sell
8,HUYA,11.96,11.71,12.895,12.42,3.85,sell
9,SKYT,15.75,15.3706,24.49,16.35,3.81,sell
10,SI,105.21,102.03,110.05,108.935,3.54,sell
